"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"f_diff_var_15_var_36_less_60","var15","var38","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","nonzerocount.saldo","new_num_var5_0","f_ratio_num_var42_saldo_var42","new_ind_var5_0","f_diff_var_15_larger","new_num_group5_prcnt","num_meses_var39_vig_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_of_used","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var8_ult1","var38_ratio","saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","f_diff_imp_op_var41_efect_comer_ult1","new_num_prcnt","num_var22_hace2","abs_f_diff_saldo_medio_var5_8_ult11","var36","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_num_var30_4","saldo_medio_var5_ult3","saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","sald0_quantile_diff_2","num_var45_ult1","abs_f_diff_saldo_medio_var5_ult13","max.saldo","num_var45_hace2","sald0_quantile_diff_3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_sum","abs_f_diff_saldo_var5_30","num_var30","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_42","0.840206","0.819961","0.835474","0.806745","0.836919","0.8311","0.80965","0.806219","0.826279","0.847706"
"f_diff_var_15_larger","saldo_var8","num_var42","var15","num_quantile_diff_3","num_var22_ult3","imp_op_var39_comer_ult1","sald0_quantile_diff_1","f_diff_num_var30_4","nonzerocount.num","var15_ratio","num_var45_ult1","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_quantile_diff_1","new_ind_var5_0","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_num_var30_4","new_num_group5_prcnt","saldo_medio_var5_ult3","new_num_group5_sum","saldo_var42","var38_ratio","n0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_trans_var37_ult1","abs_f_ratio_num_var30_saldo_var30","saldo_medio_var5_hace2","new_num_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_meses_var5_ult3","imp_op_var41_efect_ult3","abs_f_diff_saldo_medio_var5_ult13","ind_var30","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_var5","f_diff_saldo_medio_var5_ult13","num_var22_hace3","new_num_var30_0","f_num_3_sum_num","0.843301","0.827311","0.838682","0.829241","0.838198","0.81319","0.842435","0.826814","0.836442","0.842265"
"abs_f_ratio_num_var5_saldo_var5","imp_op_var41_efect_ult1","num_of_used","ind_var30","var15","f_diff_var_15_var_38","num_var42","f_diff_num_var45_ult13","new_ind_var5_0","abs_f_ratio_num_var30_saldo_var30","num_var22_hace3","num_var45_ult1","new_num_prcnt","saldo_var5","var38","saldo_medio_var5_ult1","new_ind_0_group5_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_group5_prcnt","new_num_var8_0","n0","saldo_medio_var5_hace3","f_diff_var_15_var_36_cutpoint_smaller","num_var35","new_ind_group5_sum","new_ftr_ult1_ult3_ratio_num_var22","new_ind_var30_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","sald0_quantile_diff_3","abs_f_diff_saldo_var5_30","max.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","var38_ratio","num_var5","var15_ratio","ind_comb_rank","f_num_non_zero_sum_ind","imp_op_var39_comer_ult3","abs_f_diff_saldo_medio_var5_8_ult11","0.842427","0.843615","0.839732","0.824706","0.819091","0.83194","0.841495","0.811955","0.835598","0.849063"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_ult3","f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","sald0_quantile_diff_2","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_quantile_diff_3","new_ind_0_group5_sum","f_ratio_num_var42_saldo_var42","num_var5","ind_var30","new_ind_sum","imp_trans_var37_ult1","num_meses_var5_ult3","num_of_used","nonzerocount.saldo","num_var22_hace3","abs_f_diff_num_var30_4","imp_op_var39_comer_ult1","saldo_var30","nonzerocount.num","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace3","f_diff_saldo_medio_var5_8_ult11","new_ind_var30_0","f_diff_var_15_var_36_rank","f_diff_saldo_var5_saldo_medio_var5_ult1","n0","new_ftr_ult1_ult3_ratio_num_var45","new_num_prcnt","saldo_var5","num_var30_0","new_num_var30_0","f_diff_imp_op_var41_comer_ult13","0.824391","0.815535","0.828951","0.80269","0.817585","0.802916","0.814334","0.805584","0.811752","0.838169"
"f_diff_var_15_larger","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var30_4","new_ind_var30_0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_of_used","num_meses_var5_ult3","num_var22_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_med_var22_ult3","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_ult13","new_num_group5_prcnt","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","imp_op_var41_efect_ult1","abs_f_ratio_num_var5_saldo_var5","ind_var30","num_var45_ult3","saldo_var8","num_var4","num_var30","saldo_medio_var5_hace2","new_ind_group5_sum","new_ind_sum","saldo_var42","saldo_medio_var5_ult3","num_var45_ult1","new_num_var30_0","num_quantile_diff_1","f_diff_imp_op_var41_efect_comer_ult1","var15_ratio","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_var5","imp_ent_var16_ult1","var38_ratio","saldo_var30","new_ftr_ult1_ult3_ratio_num_var45","new_num_var5_0","0.844818","0.836048","0.839877","0.822624","0.839279","0.834056","0.841209","0.812863","0.836078","0.842728"
"var38_ratio","var15_ratio","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","new_ind_sum","num_var22_ult3","max.saldo","f_diff_num_var30_4","var36","new_num_var5_0","imp_var43_emit_ult1","f_diff_var_15_larger","sald0_quantile_diff_3","new_num_prcnt","num_meses_var39_vig_ult3","saldo_medio_var8_ult3","new_num_group5_sum","num_med_var45_ult3","abs_f_diff_saldo_medio_var5_8_ult11","f_num_3_sum_num","f_diff_num_var45_ult13","var38","new_num_group5_prcnt","saldo_medio_var5_ult3","abs_f_diff_saldo_var5_30","new_num_var30_0","num_var45_ult3","saldo_var5","abs_f_ratio_num_var5_saldo_var5","f_ratio_num_var42_saldo_var42","ind_var5","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_imp_op_var41_comer_ult13","abs_f_diff_saldo_medio_var5_ult13","f_num_non_zero_sum_ind","0.822309","0.82501","0.837455","0.827082","0.837984","0.832107","0.839381","0.826328","0.810576","0.837854"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var36","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","ind_var30","var15_ratio","new_ind_var5_0","new_ftr_ult1_ult3_ratio_imp_op_var39_comer","f_diff_var_15_var_36_cutpoint_smaller","sald0_quantile_diff_2","f_diff_saldo_var5_saldo_medio_var5_ult1","num_meses_var5_ult3","f_diff_var_15_larger","saldo_medio_var8_ult1","new_ind_0_group5_sum","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","saldo_medio_var5_hace3","new_ind_var30_0","new_ind_sum","imp_op_var41_ult1","saldo_var8","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_num_var30_4","f_diff_num_var45_ult13","f_diff_num_var22_ult3_num_med_var45_ult3","n0","var38_ratio","f_num_3_sum_num","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_non_zero_sum_ind","saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","nonzerocount.saldo","new_num_group5_prcnt","num_var42","new_num_var5_0","0.814682","0.813592","0.837547","0.826373","0.836536","0.832351","0.838638","0.828734","0.833008","0.848761"
"num_meses_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","new_ind_var30_0","f_diff_num_var45_ult13","new_ind_sum","new_ind_var5_0","saldo_var30","num_var22_ult3","new_ind_group5_sum","new_ftr_ult1_ult3_ratio_num_var45","f_diff_saldo_medio_var5_ult13","f_diff_saldo_medio_var5_8_ult11","num_quantile_diff_1","saldo_var5","new_num_group5_sum","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","imp_op_var41_ult1","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_var5_30","num_var35","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var15_ratio","f_num_3_sum_num","ind_var30","saldo_medio_var5_ult1","num_var45_ult3","num_var42","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_op_var41_comer_ult1","ind_var5","max.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","f_diff_imp_op_var41_efect_comer_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var39_efect_ult3","num_var4","saldo_medio_var5_hace3","0.830887","0.829749","0.82831","0.815425","0.8283","0.813997","0.831142","0.820114","0.821812","0.834408"
"num_meses_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var45_ult1","sald0_quantile_diff_1","sald0_quantile_diff_3","saldo_var42","new_num_group5_prcnt","abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","ind_comb_rank","num_meses_var39_vig_ult3","new_ind_sum","saldo_medio_var8_ult3","new_ind_var30_0","sald0_quantile_diff_2","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_rank","saldo_var30","new_ind_group5_sum","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var45_ult13","nonzerocount.saldo","num_var45_hace2","new_num_prcnt","num_var5","saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_group5_sum","f_num_non_zero_sum_ind","f_diff_var_15_var_38","abs_f_diff_num_var30_4","saldo_var8","var15","new_num_var5_0","num_var22_ult3","max.saldo","abs_f_diff_saldo_var5_30","ind_var30","var38_ratio","0.842812","0.836971","0.840589","0.824363","0.820147","0.833295","0.839834","0.828516","0.836549","0.850729"
"f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_meses_var5_ult3","ind_var30","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_38","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_larger","f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_var5_30","f_diff_imp_op_var41_efect_comer_ult1","new_ind_group5_sum","num_var5","num_var35","f_diff_var_15_var_36_less_60","num_meses_var39_vig_ult3","saldo_medio_var5_ult1","f_num_3_sum_num","num_quantile_diff_3","new_ind_var5_0","var15","var15_ratio","f_diff_var_15_var_36_rank","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_var5","var38_ratio","abs_f_ratio_num_var5_saldo_var5","f_num_quan_70_sum_saldo","imp_op_var41_ult1","var38","num_var45_hace2","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_var30_0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_var30_0","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","max.saldo","new_ftr_ult1_ult3_ratio_num_var22","n0","0.842587","0.842295","0.837242","0.828279","0.837304","0.832726","0.836756","0.826918","0.837353","0.849276"
"num_med_var22_ult3","new_num_var5_0","new_num_group5_prcnt","f_diff_num_var22_ult3_num_med_var45_ult3","var15_ratio","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_group5_sum","abs_f_diff_num_var30_4","num_meses_var5_ult3","f_diff_var_15_var_36_rank","nonzerocount.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","ind_comb_rank","var15","var38","saldo_medio_var5_hace3","imp_ent_var16_ult1","num_quantile_diff_3","num_var5","f_diff_saldo_medio_var5_8_ult11","num_of_used","num_var45_hace3","imp_op_var39_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var8_ult1","saldo_medio_var5_hace2","ind_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","n0","abs_f_diff_saldo_medio_var5_8_ult11","num_var35","f_num_3_sum_num","num_var45_ult3","var36","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","f_ratio_num_var42_saldo_var42","new_ind_sum","f_num_non_zero_sum_ind","0.843111","0.844719","0.815473","0.814861","0.822683","0.833236","0.840883","0.810096","0.836487","0.841833"
